Posting date;Narrative;Amount;Balance
02/07/2026;CLIENT PAYMENT ACME HOLDINGS;125000.00;125000.00
03/07/2026;AWS EMEA CLOUD SERVICES;-18423.00;106577.00
05/07/2026;SALARIES EMPLOYEE BATCH;-84000.00;22577.00
07/07/2026;PAYE SARS EMP201;-19200.00;3377.00
10/07/2026;GITHUB.COM SUBSCRIPTION;-840.00;2537.00
11/07/2026;NETFLIX.COM;-199.00;2338.00
14/07/2026;CLIENT PAYMENT BLUEBIRD LTD;68000.00;70338.00
18/07/2026;OFFICE RENT SANDTON;-22000.00;48338.00
22/07/2026;MONTHLY ACCOUNT FEE;-465.00;47873.00
25/07/2026;VAT PAYMENT SARS;-31000.00;16873.00
